date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-15 16:31:06,PDimitroff,blueskygroup,0,0,1,"This is EXACTLY right - we should be opening a dialogue with Iran, including re-opening the Embassy. @CanadaFP @Canada @blueskygroup",,@CanadaFP @Canada @blueskygroup,,1217484360963760128,https://twitter.com/PDimitroff/status/1217484360963760128
2020-01-15 05:35:36,alireza_1111,Reuters,0,0,5,"You want help in dialogue with Iran? Open your goddamn embassy. ",,,,1217319400161841154,https://twitter.com/alireza_1111/status/1217319400161841154
2020-01-14 16:27:39,iambibinbabu,China_Amb_India,0,0,3,"India-China Youth Dialogue 2020. Had the opportunity to share my views on role which youth will play to build a century lead by these to countries. Was an honour to share stage with H.E Sun Weidong. Organised by CYL and Embassy of China. ",,,,1217121106110205953,https://twitter.com/iambibinbabu/status/1217121106110205953
2020-01-14 12:15:20,ChrispLOL,TesselvanEssen,0,1,1,"The cycle parking at our main stations has marginally improved but is chronically inadequate in numbers and quality. Subject of long running dialogue with @NetworkRailMAN and @northernassist for Victoria and Oxford Rd. Not much action. Access routes and tie ins not great either.",,@NetworkRailMAN @northernassist,,1217057607363502081,https://twitter.com/ChrispLOL/status/1217057607363502081
2020-01-13 18:54:53,Jaques1Bar,,0,0,0,"@brikeilarcnn @jaketapper @wolfblitzer @ErinBurnett @AC360 @ChrisCuomo @donlemon Embassy Siege Top Iranian &amp; Iraqi arrive in Baghdad during deployment Thus Planners Leaders targeted defusing assault &amp; Changing Dialogue: War Or Peace - Iran calling shoots But tucking ",,@brikeilarcnn @jaketapper @wolfblitzer @ErinBurnett @AC360 @ChrisCuomo @donlemon,,1216795773309943809,https://twitter.com/Jaques1Bar/status/1216795773309943809
2020-01-13 15:30:35,kingofpain666,thecorridorIE,0,3,8,"Delighted to be reading and talking about the concept of 'Heimat' at the Residency of the Germany Embassy in February w/ @lilysimage in February. Uppa German-Irish dialogue and all that. ",,@lilysimage,,1216744356125782016,https://twitter.com/kingofpain666/status/1216744356125782016
2020-01-13 15:12:04,MFAofArmenia,,0,1,17,"On Jan 13, #Armenia FM @ZMnatsakanyan received Tatjana Panajotovic Cvetkovic, Charge d'Affaires of Embassy of the Republic of #Serbia in Armenia. Sides discussed issues related to upcoming opening of the Embassy in #Yerevan, as well as ensuring continuation of bilateral dialogue. ",,@ZMnatsakanyan,#Armenia #Serbia #Yerevan,1216739699617910790,https://twitter.com/MFAofArmenia/status/1216739699617910790
2020-01-13 08:01:06,MattFieldUK,,1,19,98,"Today the Embassy flag is flying at half-mast, following the passing of Sultan Qaboos bin Said of Oman. He was a strong advocate and practitioner of dialogue and tolerance, and will be much missed across the Middle East. #SultanQaboos",,,#SultanQaboos,1216631240448712704,https://twitter.com/MattFieldUK/status/1216631240448712704
2020-01-12 12:52:42,canteach,Dan_GT2,0,2,23,"I think this might be a good opportunity to correct Harper’s mistake . A dialogue has been established. Iran has expressed regret. Excellent diplomacy. Time to reopen the embassy.",,,,1216342237740662785,https://twitter.com/canteach/status/1216342237740662785
2020-01-11 11:43:57,aragondinaphoto,nosliwsirhc,1,0,1,"Nope, just Trump. The blame is on both the Iranian crew who got jumpy & fired the missile, and Trump for his rhetoric & tearing up agreements while pushing for war. Harper holds a little in the aftermath for removing the embassy. You can't have dialogue if you don't communicate",,,,1215962547561517056,https://twitter.com/aragondinaphoto/status/1215962547561517056
2020-01-11 08:43:34,NP_Textiles,,0,0,1,"#EU to host dialogue on BD #apparels European Parliament in collaboration with the embassy of #Bangladesh in #Brussels has organised a dialogue on the #apparel industry http://nptextiles.com/ http://linkedin.com/company/north-pine-textiles http://facebook.com/NPTextiles",,,#EU #apparels #Bangladesh #Brussels #apparel,1215917151661355008,https://twitter.com/NP_Textiles/status/1215917151661355008
2020-01-10 15:56:12,mwgbanks,RussianEmbassy,0,0,1,"The Residence in Moscow, our former Embassy compound, is magnificent. Such a wonderful view across the river to @KremlinRussia_E Good luck Amb Bronnet! Do all you can to improve #Dialogue",,@KremlinRussia_E,#Dialogue,1215663639585345536,https://twitter.com/mwgbanks/status/1215663639585345536
2020-01-10 06:49:30,cement_head88,themadsloth,0,0,1,"Open a dialogue, apologize, reopen the Canadian embassy. Yes, he is that stupid.",,,,1215526057933099009,https://twitter.com/cement_head88/status/1215526057933099009
2020-01-10 02:35:00,JDignum,,0,0,0,"* ""Merely having an embassy there and having their embassy here, does not mean that we approve of that government's policies,"" he said. ""It means that we recognize the #importance of #dialogue, notwithstanding our differences."" * ",,,#importance #dialogue,1215462011267477504,https://twitter.com/JDignum/status/1215462011267477504
2020-01-09 15:38:21,sm98saransh,,1,0,1,"Today I attended 2nd China-India Youth Dialogue at Embassy of People's Republic of China and it was such a great and enriching experience to be a part and represented India on international platform I'm sharing Indian classical dance performance Enjoy!! #CYL #NarendraModi #MEA",,,#CYL #NarendraModi #MEA,1215296761754988544,https://twitter.com/sm98saransh/status/1215296761754988544
2020-01-09 12:02:24,contactniice,,0,0,0,"NBR-NIICE Dialogue Series - II on China and South Asia, 14 Jan 2020 at Quince Restaurant, Bakhundole, Lalitpur (Opposite Royal Norwegian Embassy) ",,,,1215242416388636672,https://twitter.com/contactniice/status/1215242416388636672
