date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-06 11:23:45,USEmbassyBKK,USAmbThailand,0,2,5,"ท่านทูตดีซอมบรี @USAmbThailand และ พล.อ. พรพิพัฒน์ เบญญศรี ผู้บัญชาการทหารสูงสุด เป็นประธานในพิธีเปิดการฝึกดำเนินกลยุทธ์ด้วยกระสุนจริงและพิธีปิดคอบร้าโกลด์ ประจำปี 2563 #CobraGold2020",,@USAmbThailand,#CobraGold2020,1235888798690500608,https://twitter.com/USEmbassyBKK/status/1235888798690500608
2020-03-06 06:55:16,USEmbassyBKK,,0,1,3," Cobra Gold 20: Cyber operators from six nations join together during second annual Cyber FTX #CG20 #FriendsPartnersAllies",,,#CG20 #FriendsPartnersAllies,1235821230281785344,https://twitter.com/USEmbassyBKK/status/1235821230281785344
2020-03-06 04:01:18,USEmbassyBKK,,0,0,2," คอบร้าโกลด์ 20: รสชาติสองวัฒนธรรม นาวิกโยธินและทหารสหรัฐฯ ร่วมรับประทานอาหารกับทหารไทยระหว่างการฝึกคอบร้าโกลด์ ประจำปี 2563 ครั้งที่ 39 #FriendsPartnersAllies #CG20 pic.twitter.com/XD1TJwCvLX",,,#FriendsPartnersAllies #CG20,1235777449981550592,https://twitter.com/USEmbassyBKK/status/1235777449981550592
2020-03-06 03:59:42,USEmbassyBKK,,0,1,4," Cobra Gold 20: A taste of culture U.S. Marines, Soldiers, and Royal Thai soldiers shared a meal during Exercise Cobra Gold 2020. #CG20 #FriendsPartnersAllies pic.twitter.com/YHYxfa1txX",,,#CG20 #FriendsPartnersAllies,1235777049584955392,https://twitter.com/USEmbassyBKK/status/1235777049584955392
2020-03-05 10:21:16,USEmbassyBKK,USAmbThailand,0,0,2,"ท่านทูตดีซอมบรี @USAmbThailand ร่วมเป็นประธานในพิธีส่งมอบอาคารตามโครงการช่วยเหลือประชาชน #CobraGold2020 โครงการที่ 4 โรงเรียนบ้านกร่าง จ. พิษณุโลก ที่ทหารช่างจากไทย สิงคโปร์ และสหรัฐฯ ร่วมกันวางแผนและก่อสร้างให้กับโรงเรียนและชุมชนได้ใช้ประโยชน์",,@USAmbThailand,#CobraGold2020,1235510684508536832,https://twitter.com/USEmbassyBKK/status/1235510684508536832
2020-03-05 06:39:31,USEmbassyBKK,,0,3,6," Cobra Gold: What It Means to Us #CG20 #FriendsPartnersAllies",,,#CG20 #FriendsPartnersAllies,1235454877544976384,https://twitter.com/USEmbassyBKK/status/1235454877544976384
2020-03-05 06:38:33,USEmbassyBKK,,0,8,11," ทหารไทย-สหรัฐฯ พูดถึงความสำคัญของคอบร้าโกลด์ #CG20 #FriendsPartnersAllies",,,#CG20 #FriendsPartnersAllies,1235454636279992321,https://twitter.com/USEmbassyBKK/status/1235454636279992321
2020-03-05 03:30:00,USEmbassyBKK,,1,0,2," Cobra Gold 20: Royal Thai, US forces commemorate landmine reduction operations with unexploded ordnance destruction. #CG20 #FriendsPartnersAllies",,,#CG20 #FriendsPartnersAllies,1235407184445337600,https://twitter.com/USEmbassyBKK/status/1235407184445337600
2020-03-05 02:24:07,USEmbassyBKK,,1,0,1,"Chargé d’Affaires Michael Heath participated as the U.S. co-chair at the Cobra Gold 2020 Humanitarian Assistance and Disaster Relief Demonstration, along with Thai co-chair Gen. Chaichana Nakkerd, Royal Thai Armed Forces Deputy Chief of Defense. #CG20 #FriendsPartnersAllies",,,#CG20 #FriendsPartnersAllies,1235390605833809920,https://twitter.com/USEmbassyBKK/status/1235390605833809920
2020-03-05 02:23:24,USEmbassyBKK,,0,1,2,"อุปทูตรักษาการแทนเอกอัครราชทูตสหรัฐฯ ไมเคิล ฮีธ และพล.อ. ชัยชนะ นาคเกิด รองผู้บัญชาการทหารสูงสุด เป็นประธานเปิดการฝึกช่วยเหลือด้านมนุษยธรรมและบรรเทาสาธารณภัยในการฝึกคอบร้าโกลด์ประจำปี 2563 ที่ศูนย์ฝึกบรรเทาสาธารณภัย หน่วยบัญชาการทหารพัฒนา ฉะเชิงเทรา #CG20 #FriendsPartnersAllies",,,#CG20 #FriendsPartnersAllies,1235390427081003009,https://twitter.com/USEmbassyBKK/status/1235390427081003009
